id,group,color,con_crop
Resources,Resources,#bebebe,Y11
Bacterivores,Bacterivores,#f8766d,Y11
Herbivores,Herbivores,#00bf7d,Y11
Fungivores,Fungivores,#a3a400,Y11
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y11
Resources,Resources,#bebebe,Y2
Bacterivores,Bacterivores,#f8766d,Y2
Herbivores,Herbivores,#00bf7d,Y2
Fungivores,Fungivores,#a3a400,Y2
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y2
Resources,Resources,#bebebe,Y5
Bacterivores,Bacterivores,#f8766d,Y5
Herbivores,Herbivores,#00bf7d,Y5
Fungivores,Fungivores,#a3a400,Y5
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y5
Resources,Resources,#bebebe,Y8
Bacterivores,Bacterivores,#f8766d,Y8
Herbivores,Herbivores,#00bf7d,Y8
Fungivores,Fungivores,#a3a400,Y8
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y8
Resources,Resources,#bebebe,Y11
Bacterivores,Bacterivores,#f8766d,Y11
Herbivores,Herbivores,#00bf7d,Y11
Fungivores,Fungivores,#a3a400,Y11
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y11
Resources,Resources,#bebebe,Y2
Bacterivores,Bacterivores,#f8766d,Y2
Herbivores,Herbivores,#00bf7d,Y2
Fungivores,Fungivores,#a3a400,Y2
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y2
Resources,Resources,#bebebe,Y5
Bacterivores,Bacterivores,#f8766d,Y5
Herbivores,Herbivores,#00bf7d,Y5
Fungivores,Fungivores,#a3a400,Y5
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y5
Resources,Resources,#bebebe,Y8
Bacterivores,Bacterivores,#f8766d,Y8
Herbivores,Herbivores,#00bf7d,Y8
Fungivores,Fungivores,#a3a400,Y8
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y8
Resources,Resources,#bebebe,Y11
Bacterivores,Bacterivores,#f8766d,Y11
Herbivores,Herbivores,#00bf7d,Y11
Fungivores,Fungivores,#a3a400,Y11
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y11
Resources,Resources,#bebebe,Y2
Bacterivores,Bacterivores,#f8766d,Y2
Herbivores,Herbivores,#00bf7d,Y2
Fungivores,Fungivores,#a3a400,Y2
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y2
Resources,Resources,#bebebe,Y5
Bacterivores,Bacterivores,#f8766d,Y5
Herbivores,Herbivores,#00bf7d,Y5
Fungivores,Fungivores,#a3a400,Y5
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y5
Resources,Resources,#bebebe,Y8
Bacterivores,Bacterivores,#f8766d,Y8
Herbivores,Herbivores,#00bf7d,Y8
Fungivores,Fungivores,#a3a400,Y8
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y8
Resources,Resources,#bebebe,Y11
Bacterivores,Bacterivores,#f8766d,Y11
Herbivores,Herbivores,#00bf7d,Y11
Fungivores,Fungivores,#a3a400,Y11
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y11
Resources,Resources,#bebebe,Y2
Bacterivores,Bacterivores,#f8766d,Y2
Herbivores,Herbivores,#00bf7d,Y2
Fungivores,Fungivores,#a3a400,Y2
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y2
Resources,Resources,#bebebe,Y5
Bacterivores,Bacterivores,#f8766d,Y5
Herbivores,Herbivores,#00bf7d,Y5
Fungivores,Fungivores,#a3a400,Y5
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y5
Resources,Resources,#bebebe,Y8
Bacterivores,Bacterivores,#f8766d,Y8
Herbivores,Herbivores,#00bf7d,Y8
Fungivores,Fungivores,#a3a400,Y8
Omnivores_carnivores,Omnivores_carnivores,#00b0f6,Y8
