SampleID,pH,SOC,NH4,NO3,P,K,Ca,Mg,Fe,Mn,Cu,Zn
Y2_Summer_1,3.5,2.06,2.75,3.1,28.7,118.42,204.95,28.46,23.72,2.96,0.78,4.65
Y2_Summer_2,3.57,2.06,2.67,6.51,52.4,154.72,434.15,54.26,24.23,4.38,0.63,2.98
Y2_Summer_3,3.91,3.4,2.59,3.58,41,340.62,603.65,48.65,89.74,25.44,1.74,4.88
Y2_Summer_4,3.54,3.45,2.61,3.77,44.8,167.42,315.05,43.28,32.45,14.51,1.32,2.81
Y5_Summer_1,4.6,2.96,3.35,4.71,44.5,266.22,754.65,62.91,28.48,69.82,1.38,7.58
Y5_Summer_2,5.24,3.8,5.17,6.19,83.8,354.52,1644.25,158.73,22.97,143.82,1.57,13.34
Y5_Summer_3,4.88,3.38,5.18,6.7,68.2,424.82,1047.25,77.09,22.81,121.12,1.24,38.61
Y5_Summer_4,5.78,3.97,5.14,7.12,58.3,210.42,2036.25,169.43,33.54,209.47,1.95,45.48
Y8_Summer_1,5.07,3.31,4.28,23.08,121.7,923.72,1271.25,130.23,25.13,73.62,1.36,10.42
Y8_Summer_2,5.71,3.38,2.2,24.79,61.7,913.22,1328.25,159.03,34.94,70.07,1.14,21.18
Y8_Summer_3,5.17,3.87,3.69,29.56,119.9,906.12,1455.25,152.53,60.74,67.92,1.03,15.17
Y8_Summer_4,5.77,4.81,4.85,23.64,118.3,1019.42,1767.25,174.53,21.86,52.72,0.88,9.63
Y11_Summer_1,5.63,5,4.94,10.34,150.5,691.72,2324.25,162.53,20.27,96.92,0.16,99.13
Y11_Summer_2,4.59,4.59,5.69,18.21,148.3,846.62,1179.25,114.63,24.39,63.02,0.44,70.08
Y11_Summer_3,5.06,5.81,4.41,17.41,170.2,891.22,1613.25,201.73,35.76,94.52,0.17,66.68
Y11_Summer_4,4.64,4.38,5.37,18.07,131,901.92,1126.25,116.43,33.46,62.17,0.48,43.07
Y2_Spring_1,4,2.17,2.513,17.31,20.406509,221.055,771.28,68.36,19.94,16.015,0.6475,2.12
Y2_Spring_2,3.92,2.42,2.142,12.15,46.942049,245.955,703.58,77.8,20.975,12.6,0.6125,2.34
Y2_Spring_3,3.79,2.57,3.867,10.72,32.6932115,345.655,715.58,55.6,29.435,11.995,0.9925,3.435
Y2_Spring_4,3.74,2.55,2.135,10.06,22.5648575,141.755,495.28,56.12,69.535,19.875,1.5825,6.96
Y5_Spring_1,4.77,3.42,2.097,5.85,56.15474,482.955,1274.08,106.94,33.135,149.67,1.0925,11.485
Y5_Spring_2,5.07,3.42,3.454,15.22,53.6226515,968.755,2004.08,263.84,40.32,184.42,1.8375,20.97
Y5_Spring_3,5.1,2.77,3.443,15.3,36.496016,621.855,1250.08,150.64,32.58,116.72,0.9875,75.44
Y5_Spring_4,5.15,3.47,3.521,8.44,55.257764,735.355,1967.08,224.24,48.815,198.17,2.2225,37.215
Y8_Spring_1,4.73,3.52,6.641,11.71,103.777984,1001.655,1222.08,179.94,66.285,88.67,1.5475,23.995
Y8_Spring_2,4.78,3.62,5.241,8.47,54.829372,847.255,1071.08,151.94,26.58,33.865,1.5275,20.12
Y8_Spring_3,5.11,3.72,5.454,12.08,93.90064,1054.655,1522.08,220.74,34.935,55.67,0.9625,11.73
Y8_Spring_4,5.34,2.53,6.776,12.17,90.7144,1111.655,1448.08,189.64,26.82,47.115,1.7525,7.345
Y11_Spring_1,5.45,3.01,4.9,10.92,114.033694,1074.655,1302.08,164.34,30.055,102.17,0.7675,73.19
Y11_Spring_2,5.36,3.01,4.309,5.44,162.145918,756.455,1024.08,82.65,30.7,63.67,0.7575,30.515
Y11_Spring_3,5.18,4.01,5.349,6.12,130.94068,958.455,911.18,268.24,33.655,77.72,0.8625,68.44
Y11_Spring_4,5.13,3.77,5.939,5.56,158.82028,1110.655,1402.08,166.84,33,124.37,0.7525,112.14
